"text","label","Sentiment"
"Hyderabad: The Telangana government has assured that it would implement multiple steps to improve the 26,065 state-run schools through the ‘Mana Ooru Mana Badi’ scheme over three years, from building basic infrastructure to providing digital classrooms, as well as starting instruction in English medium.
If the government’s ambitious project comes to fruition, it would not be a moment too soon. Several schools are in dire straits and gasping for help.
 
This reporter travelled to government, zilla and mandal parishad schools in the interiors, in tribal tracks and in towns surrounding headquarters of multiple districts. All over, schools were in need of basic facilities. Just ahead of their reopening after the summer vacation, these schools seem to have been left out of the government's programme.
Schools face the same problem — dilapidated classrooms, unkempt premises, unhygienic toilets, no provision for drinking water, missing compound walls as well as lack of staff to maintain hygiene.
 
Multiple schools have students of different classes taught by one or two common teachers. There is a lack of focus on providing study materials and having teaching aids. There are no libraries and there are no laboratories in many cases.
There is no emphasis on imparting social and extra-curricular activities, which are crucial for the overall development of a student. In any case, there are no facilities for the children to play. Schools lack sporting equipment.
Students are forced to make do with the few facilities available to them. While ministers and TRS MLAs heap praises on the functioning of government schools, repeatedly claiming that they have the best facilities, the reality seems to be different altogether as Deccan Chronicle found out.
 
Schools located close to the district headquarters and Zilla Parishad High Schools (ZPHS) in mandal quarters are better maintained, with facilities such as potable drinking water, clean surroundings, good decoration, artworks on walls and others.
Maintenance of schools is a different story altogether, with staff shortage affecting cleaning of toilets, upkeep of school premises and watering of plants, among others.
In 2022, the government had allocated Rs 16,043 crore to the education sector, up from Rs 15,608 crore last year. The budget has been divided, with Rs 13,727 given for school education and Rs 2,357 crore for higher education.
 
In order to uplift facilities in government schools, Rs 7,289.54 has been allotted to the Mana Ooru Mana Badi programme. In the first phase, Rs 3,497 crore is to be spent to develop 9,123, or 35 per cent, of state-run schools.
When students step into their classrooms in thousands of schools on Monday, however, they will find that there is a long way to go. This reporter tried to get in touch with the district education officers concerned and the constituency MLAs via phone calls and emails but none of them responded.
Aged woman offers her hut for school
 
Komaram Bheem Asifabad: The small hamlet of Jandaguda in Ullipitta village of Tiryani mandal is home to around 30 Adivasi families. These families were relocated by Singareni Collieries Company Limited (SCCL) in 2007 to Pangadi which is located in the deep forests, without roads and electricity, and a school. .
For 10 years, the school was run from the hut of a cook, Jekam Pochubai. In 2018, hoping for a better life, they relocated to Jandaguda but did not get a school building, and continued to use Pochubai’s hut.
“We cannot afford to send our kids to private schools. For a long time, we did not have proper roads or electricity. There is no school. We are constantly fighting for a dignified life,” a resident said.
“We relocated to this area hoping for a better future for our kids. Through lots of efforts, we were able to get an anganwadi school with the help of social activists. However, this has not been inaugurated yet.”
Pochubai said, “I have offered my hut because I want to see the children of our village get an education. I cook meals for them. It would be really great if the government provides better facilities and a proper school here.”
The teacher, Ada Venkatesh was recently transferred to Jandaguda. ""The situation is not favourable. When it rains, we cancel classes because water leaks through the roof. The previous teachers had urged officials to look into the issues that students face but there has been no action.
The upper primary school with 25 students has one teacher who teaches all subjects. This school lacks a water connection and has portable toilets, one of which is dysfunctional. A borewell is the only source of water.
The power meter was stolen from the school in Ullipitta in March. The teacher and attender discovered this theft when they visited the school on June 2.
“I filed a complaint with the officials as well as the village MPP, who said they will look into the matter. The school has a pending bill of Rs. 40,000, which has not been paid since 10-12 years,” said Subash Rathod, the school’s teacher and incharge HM.
Officials at the power office told Deccan Chronicle they were not aware of who stole the meter.
Villagers highlighted the need for better transport, well trained staff, drinking water and others, stating that due to a lack of these, they are sometimes forced to send their kids to the headquarters, some 15km away, to an English medium school.
“If there are better facilities in our locality, life would be much easier for our kids who have to take a shared autorickshaw everyday for such a long distance to attend school,"" they said, adding that the teachers in Badi Bata programme were urged to ensure that school is converted into English medium. This, they said, would enable them to send their kids to schools, provided that the facilities get a facelift.
The school in Dorli faces similar issues, and the building is dilapidated.
Tiryani and Rebbana incharge mandal education officer (MEO) Venkateshwara Swamy admitted that most of these schools were not in good condition. “Senior officials have been intimated about these issues orally as well through the Unified District Information System for Education (UDISE). We are yet to see any response since many years,” he said.
“I’m aware that many schools have payment arrears, particularly power dues. Many of these dues have piled up over the years. We cannot repay them at once since the funds received from the government are inadequate,” Swamy said.
When asked about Jandaguda school, he said the issue was to be taken care of by the Integrated Tribal Develpment Authority (ITDA). “We provide the UDISE report to the department as well as the state government. We have stated about this issue many times but nothing has changed,” he said.
He said that in Rebbena mandal, schools in Paikajiguda and Rajaram were also in a dilapidated condition since the last five years. “Two-three schools have collapsed and we are operating the schools out in villagers' homes. Every year, the government asks for the report on dilapidated schools. We mention this every time but since my time here no works have been sanctioned. Instead, the government tells us not to conduct classes in dilapidated buildings. We will be blamed in case of any mishap,” Swamy added.
Schools in Durgapur and Kannepalli villages of Tiriyani mandal in Komaram Bheem Asifabad district also face similar issues.
 
For three years, school being run from a hut
Komaram Bheem Asifabad: A primary school in Rallabanjara, a remote village in Dammapeta mandal, functions out of a hut. The dilapidated school building was pulled down three years ago. There are over 20 students in the school.
Dammapeta mandal education officer Lakshmi told Deccan Chronicle that construction works were underway. The hut set up as a temporary basis on the school's premises after physical classes began. She stated that funds had been issued from the mandal parishad. She said construction works were slated to be completed in three months.
Schools in Laxmidevipally mandal's Bhavoji Thanda school lack basic facilities. The boundary wall resembles one of a weather-beaten ancient structure. The MPPS in Kothuru faces waterlogging issues, creating an unhygienic, stinking atmosphere. At Mokallagumpu, the small GPS TW school building lies in neglect. No boundary walls, a poorly maintained toilet and walls covered with moss greet visitors.
 
Garbage is burnt in school compound
Siddipet: The Zilla Parishad High School at Mylaram in Warangal mandal of Siddipet district offers its 148 students poorly maintained toilets. The school lacks proper facilities to cook mid-day meals.
“There is no staff to clean the premises. The government has handed over the responsibility of cleaning and maintenance to the gram panchayat, works happen irregularly. The cost for this is sometimes borne by my colleagues and I. We pitch in to pay the cleaning staff occasionally,” said school headmaster Tamala Bhaskar.
These issues are being were reported to the Unified District Information System for Education (UDISE) from time to time, he said. “The last bit of development this school witnessed was five years ago when the compound wall was fixed. As there are no gas cylinders, we're forced to use wood fire to cook food for our students. The funds issued by the government are not adequate to provide for all students,"" Bhaskar said.
The ZPHS in Raipole has dysfunctional toilets with broken doors and unhygienic hand wash areas. Many taps in the wash area are also broken. The MPPS in Kolgur of Gajwel mandal has no decent toilets for boys.
Garbage is burnt inside the premises of the school at Chandapur in Thoguta mandal. The ZPHS in the mandal has no decent toilets for girl students. There is no water connection to the school, due to which hand-pumped borewells are used to get water. Officials also fail to maintain the school premises.
At Tukkapur in the same mandal is an MPPS with broken toilets. The school is located next to a main road but has no compound wall, leaving the kids open to danger.
 
Even after MLA visit, no funds for school
Rajanna Sircilla: A ZPHS building in Vemulawada municipal Ward No 1 at Shatrajpally with 56 students is on the verge of collapse. The students are no strangers to poor toilets, broken benches or bad infrastructure. The classrooms have broken benches, adding to the discomfort of students. On the health and hygiene front, things are bleak as well as. It’s not just the students but the teachers who suffer as well, as there are four tables for a total of eight teachers.
A headmaster told Deccan Chronicle on the condition of anonymity: “As we don’t have workers, we are unable to keep the school clean. We only have around 25 benches for students to sit on and for tables for teachers. There are other issues as well.”
He said that every year, the school reported these issues to the UDISE and took the issue to the notice of the local MLA and officials but no funds were not allocated. “The MLA visited our school and assured that he would ensure the school is selected in the second phase of Mana Ooru Mana Badi. Vemulawada municipal mandal Ellanthkunta and Musthabad incharge MEO Bhukya Bannaji, “We have always mentioned these issues to senior officials and also reported to the UDISE but no action was taken. We need at least around 50 new dual desk-benches and many other things.”
He said supervision of mandal schools was difficult, and it was not possible to take special care and resolve all the issues.
The Zilla Parishad High School (ZPHS) at Nerella in Thangallapalli mandal has small toilets with no roof, the ZPHS in Adavisrirampur of Peddapalli district is also hit by similar issues.
 
School in poor state, it’s now a cattle shed
Mancherial: Things are no better at the primary school in Ponnaram of Mandamarri mandal in Mancherial district. While this school too does not have facilites, it is used as a cattle shed.
The building has three rooms, but the 26 students are forced to study in one room as the conditions are pathetic in the other rooms.
This school is located a few metres away from the ZPHS.
Headmistress Sunitha said, “Even the room that's being used is constantly under repair. We rely on gram panchayat workers for cleaning but they're not regular. Many times, we pool money and pay these workers. The fund provided by the government is sufficient to pay electricity bills mostly. There is other expenditure for which we are short of funds.”
Sunitha said that in 2015, the school was approved a kitchen shed. Construction work stopped since the government did not clear the bills.
Incharge Mandal Education Officer Jadi Pochaiah said, “Every year in September, we file a UDISE report highlighting the issues but there is no action from the government.”
In the Zilla Parishad High School (ZPHS), teachers pool `3,000 and hire workers to clean the schools.  “The fund which we get from the government is not enough to pay the electricity bills. It is not even sufficient to buy items for decorating the school for Republic Day and Independence Day.”
The Zilla Parishad High School (ZPHS) at Mandamarri for a change is well-maintained but the boys toilet doors are broken, and the conditions are themselves dirty.
 
Toilet so bad it’s abandoned
Jangaon: The primary school in Hanuman thanda of Zaffergadh mandal has 12 students in different classes, who share one classroom and are taught by a single teacher. Facilities are in poor shape; the toilets are abandoned as they lack doors and have no water connection.
Students and staff members relieve themselves outside the school's premises.
There is no boundary wall enclosing the school.
Girls forced to use dirty toilets
Nizamabad: Classrooms at a school in Joorpur, Nandipet mandal, are on the verge of collapse. Here as well, toilets lack doors and water connection. Students, particularly girls, are forced to use unhygienic toilets.
Adding to the woes, the school lacks power supply and drinking water.
 
","REAL","positive"
"The world's largest cricket jersey (66 m x 42 m), which got Guinness record recognition in the IPL final in Ahmedabad on Sunday, was prepared within nine days by Mumbai's Flag Company.
The idea was conceptualized by the IPL owners.
 
""Well, something like this needs all hands-on deck. There wasn’t any one person at the flag company who wasn’t involved and didn’t contribute to this project. A 55-member team worked on this massive opportunity"", Dalvir Singh Nagi, the company CEO, speaking exclusively, said.
""After all a project like this require immaculate planning, in time procurement, accurate designing and rendering, printing and stitching precision, smooth logistics and hardworking assembly line"", he added.
The time frame given was 15 days but the company was able to finish the product within 9 days.
 
""Printing (logos of all ten teams) and piecing the parts together required a lot of trials and errors and massive effort. The semi-finished printed fabric was shipped to the location for assembling and the piece was stitched and brought together to shape and live at the venue. It was overwhelming and exciting all at once!"", Nagi added.
""It was a moment of pride and gave us goosebumps when the record was announced and exhibited and the entire nation applauded the effort. We felt one with the nation at that moment. It was like a surreal dream"", he signed off.
 
","REAL","positive"
"Hyderabad: Much before the onset of monsoon, in the midsummer, city hospitals received a large number of acute gastroenteritis cases, caused by viral infections, with some cases also needing hospitalisation, according to the medical fraternity in the state capital. The hospitals had also started receiving dengue cases, which were expected to rise sharply in monsoon season, it said.
Symptoms of acute gastroenteritis include abdominal cramps, diarrhoea and nausea and vomiting, sometimes associated with fever. Professor and head of paediatric department, Niloufer Hospital, Dr T. Usha Rani said the hospital had regularly received multiple cases of diarrhoea caused by viral gastroenteritis over the past two to three months.
 
“The infection is usually seen during the intervening time between seasons. Even babies aged 7-8 month who are breastfed are also getting infected. But most cases don’t need hospitalisation and are manageable at home,” she said.
Medical director, senior consultant and laparoscopic surgeon at SLG Hospitals Dr Pradeep Panigrahi said of late, gastroenteritis was appearing as a symptom for most viral infections. “We are getting as many as 7-8 cases per day, of which about 15 per cent are children,” Consultant and general physician at KIMS Hospitals Dr K. Shivaraj said the hospital had received about 10-15 cases of acute gastroenteritis in a week throughout the summer.
 
While monsoon is the peak season for dengue infections, even before the season, hospitals have been reportedly getting dengue cases. As per the National Centre for Vector Borne Diseases Control Programme, until April 30, a total of 293 cases were recorded in Telangana. According to doctors, the number would have significantly risen in May.
Dr Panigrahi said among all patients with fever coming to SLG Hospitals, about 40 per cent of them were being found to have dengue. The hospital was getting about 7-8 dengue cases in a week. Dr Shivaraj said as a couple of dengue cases were recently found, KIMS was now testing every patient with fever for dengue.
 
Dr Dilip Gude, senior consultant physician, Yashoda Hospital, said the pre monsoon rains and sudden dips in extreme temperatures had helped mosquito breeding and multiplied the chances for dengue transmission. “If this is the situation before monsoon, we can expect very high numbers in and post monsoon,” he added.
","REAL","positive"
"Nellore: Prime Minister Narendra Modi heaped praise on Markapuram Rambhupal Reddy of Andhra Pradesh during 89th episode of Mann Ki Baat for donating all his earnings after retirement for the education of girls.
“He got accounts opened for about 100 daughters under the 'Sukanya Samridhi Yojana', and deposited more than Rs 25 lakh in it,” PM said.
 
Sukanya Samriddhi Yojana is a small deposit scheme of the central government meant exclusively for girls, to meet the education and marriage expenses of those from poor families.
“My dear countrymen, the mantra of serving the society by rising above the self is a part of our values, our sanskar. Countless people in our country are making this mantra their life’s goal. I came to know about Rambhupal Reddyji, a friend living in Markapuram, Andhra Pradesh. He has donated all his earnings after retirement for the education of (our) daughters,” the PM noted.
 
A resident of Yadavalli village in Giddalur mandal in Prakasam district, generosity is the hallmark of Ram Bhupal, 61, who had worked as a teacher and retired in August last year.
While he deposited his entire retirement benefits for the education of 100 deserving girls he had identified for the help at the end of his service, he had encouraged the students of backward social groups by conducting special classes for them and providing study material to them right from the beginning of his teaching career.
As president of Pachayath Raj teachers association, Rambhupal Reddy also used to motivate good teachers. He was a recipient of the Best Teacher Award from former CMs Rajasekhar Reddy and Chandrababu Naidu.
 
Speaking to Deccan Chronicle, Rambhupal said he did not aim at publicity when he deposited his retirement benefits of Rs 25 lakh to support needy girl students.  “If you do service without any expectation, recognition will come to you in normal course,” Reddy said after the PM referred to his name in the Maan Ki Baat programme.
He said there is no limit to desires. Minimum of one’s earnings is enough to lead a normal life. Hence, he deposited amounts under the SSY scheme to help the girls. He had selected girls only from BPL families though he faced pressure from some other people too to select their children, he said.
 
","REAL","positive"
"Hyderabad: Liquor brands with a maximum retail price (MRP) of less than Rs 200 became costly by Rs 20 to Rs 80 following orders of the state government on Thursday. The price of brands costing more than Rs 200 were increased in the range of Rs 40 to Rs 160.
Beer was made costlier by Rs 10 across all brands and bottle sizes, under the new orders. The orders stated that the revised prices were applicable even for stocks with old MRP printed on them.
 
Interestingly, the orders claimed that the price increase would lead to moderation in the consumption of liquor. This was seen to counter the criticism that the government had increased the prices to increase its revenues. The sudden price rise led to arguments between liquor shop dealers and consumers according to reports from several parts of the state.
Consumers refused to pay more than the MRP. Dealers struggled to convince them by displaying the government’s orders. The new price list is available on the website www.tsbcl.telangana.gov.in/ts/
 
Liquor prices were last increased in  the state in May 2020. The orders stated that, “Strict action shall be initiated against dealers violating the MRP. Any such instance may be reported on toll free number 18004252523
","REAL","positive"
"Hyderabad: Legislators from Telangana State are the highest-paid compared to their counterparts from all other states, including by way of salaries and allowances.
While a Telangana MLA takes home a cool Rs 2.50 lakh every month, an MLA from Tripura draws a measly Rs 17,500. A legislator from Delhi commands the next highest at Rs 2.10 lakh while those from Andhra Pradesh draw a monthly salary of Rs 1.30 lakh.
 
Telangana MLAs shot to the top of the ladder in 2016 when the state government hiked their pay and allowances by an overwhelming 163 per cent in one go.
Apart from these, family members of an MLA are entitled for a host of other benefits. Each legislator gets an accommodation allowance of Rs 25,000 per month if he does not stay in MLAs hostel. Accommodation, and water and electricity supplies are free in MLA quarters.
They enjoy massive concessions and benefits when they travel by trains or TSRTC buses.  MLAs are eligible for a car advance of Rs 30 lakh or the actual cost of the vehicle, whichever is less, in each term.
MLAs and their family members are entitled to free accommodation and treatment in any hospital maintained by the state government.  Hospitalisation and treatment charges incurred by them, including abroad, are duly reimbursed.
 
An MLA can appoint a personal assistant on deputation from any one of 13 departments up to the cadre of senior assistant. The PA will draw salary from the parent department.
Legislators from the state also draw substantial amounts as monthly pension up to a maximum of Rs 70,000.
The spouse of a deceased MLA, who is not married, will be entitled to receive the same amount of the pension, which the MLA would have been entitled to if alive.
However, there are conflicting arguments on whether MLAs deserve such high salaries and allowances. They have also drawn all-round ridicule from certain quarters.
 
""Contrary to general perceptions not all MLAs are rich. Many from BC, SC, ST and minority categories are poor. Many former legislators approach the government and NGOs for financial support,"" pointed out R. Krishnaiah, former MLA.
""There should be a rationale. When MLAs in other states can work for less than Rs 20,000 per month, why should those from Telangana get Rs 2.50 lakh?"" asked M. Padmanabha Reddy, secretary of Forum for Good Governance.
","REAL","positive"
"HYDERABAD: India could be in the middle of a silent but unfolding disaster in its farmlands and fruit gardens because of a steady decline in honey bee population across the country, which could lead to a severe setback to the country’s food production.
Agriculture scientists, entomologists, apiculture experts and pesticide industry managers, have called for urgent studies to understand the real situation on honey bee health and populations across the country.
 
Almost 80 per cent of all crops and most fruit-bearing trees require pollination.
Studies have shown that honey bees are responsible for up to 75 per cent of all pollination that keeps the crop production engine grinding in India, like elsewhere in the world. “Right now, it is a tragedy.
Something needs to be done before it turns into a catastrophe,” said P. Ravindra Kumar, director of apiculture technology centre at Prof Jayashankar Telangana State Agriculture University in Hyderabad, on the status of honey bees in the country. While there are no nation-wide concerted studies to understand the bee population distribution, anecdotal evidence shows that the numbers of beehives are falling.
 
“When I started the apiculture programme at NIRD (now the National Institute of Rural Development and Panchayati Raj) in 2004, I used to see several beehives. Today, I hardly see any,” Kumar told Deccan Chronicle.
This is the situation in an area of the city that is full of trees, flowering plants, and is the hub of agriculture training and teaching in the state. One of the biggest drivers of the fall in honey bee population, as also other pollinating insects, is the indiscriminate use of pesticides in the country, with factors like heat-induced stress from rising temperatures because of climate change and radiation from cell phone towers, particularly in urban areas, contributing to their decline.
 
According to Prof Parthib Basu, who leads the centre for agroecology & pollination studies at the University of Calcutta, “honey bees, the flagship pollinator species, are under tremendous physiological stress in agro-eco systems.”
Pesticides and other agrochemicals such as herbicides and weedicides are killing bees and other pollinators, especially in intensively farmed areas.
Also of great concern is the impact of manifestations of sub-lethal pesticide doses the bees and other pollinating insects are exposed to. “In such cases, the bees don’t die immediately but will drop off. There are behavioural aberrations, they lose their ability to smell, can no longer see properly, which affects their orientation for foraging and returning to their hives,” he said. In addition to bees, Prof Basu said that there are hundreds of other non-flagship pollinators.
 
“They are also under tremendous stress. Perhaps we are losing this diversity without anyone noticing it,” he said. “Our research,” he said “has shown that pollinators get killed along with pests. This essentially brings down productivity because you are letting go of pollinators.”
Declaring that there is no such thing as a safe pesticide, Prof Basu said when neonicotinoid pesticides were introduced, they entered India in a big way about a decade ago. They were initially thought to be safe for friendly pollinator insects but now it is known that they are equally harmful. “There are published reports that have shown that even the so-called bio-pesticides also have tremendous adverse effects on bees, at least at the sub-lethal levels,” he said.
 
Even if bees are affected at sub-lethal levels, their fall in health eventually contributes to the collapse of their colonies.
","REAL","positive"
"HYDERABAD: India and China could well emerge as the biggest hotspots for new zoonotic viral diseases — those that spread from wildlife to other mammals —and very likely to humans over the next few decades if human pressure on forests continues to increase, driving increasing human wildlife interactions, the State of the World’s Forests 2022 report has said.
The report comes just days after a similar prediction was made in a research paper published in the journal ‘Nature’ which too said climate change-driven changes could see over the next 50 years more than 15,000 new cases of mammals transmitting viruses to other mammals.
 
The study says that at least 10,000 virus species have the capacity to infect humans. These, at present, according to the study ‘Climate change increases cross-species viral transmission risk’, are circulating silently in wild mammals.
The study warns that climate and land use change will produce new opportunities for viral sharing among previously geographically-isolated species of wildlife, which will result in zoonotic spillover, diseases spreading from animals to humans.
The study says this risk will be highest in areas of high human population density in Asia and Africa, and could see a rise of such viral disease transmission by 4,000 times.
 
Ever since the Covid-19 pandemic there has been a renewed concern over spread of zoonotic diseases, and this concern was reflected in the ‘State of the World’s Forests’ report. It said human health is closely connected to animal health, and the shared environment.
It has become apparent, the report said, that addressing the ecosystem-health dimension through responsible land-use planning and greater involvement of the forest and wildlife sectors and natural-resource managers is important. It called for continuous monitoring and surveillance, data-sharing and evidence-based decision-making to contain the threat.
 
Click on Deccan Chronicle Technology and Science for the latest news and reviews. Follow us on Facebook, Twitter. 
","REAL","positive"
"MANNANUR: The three-day Saileswaram Jatara that began on April 15 in Amrabad Tiger Reserve passed off peacefully, but not without its share of controversies.
With political patronage increasing for the festival, and with pressure from the government to allow everyone who wants to visit the temple during the jatara, this year’s entry fee collection turned into a mess with sudden orders from Hyderabad that the entry fee be scrapped, two days into the festival. An amount of Rs 1,000 was proposed to be deducted for private four-wheelers, and lower amounts for two-wheelers and autorickshaws from this year. Finally, orders were issued to halve the entry fee on the last day of the festival.
 
According to officials, no vehicle can be allowed into a tiger reserve without an entry fee, as per the rules of the National Tiger Conservation Authority, which governs all goings on in the country’s tiger reserves. The amount collected was desperately needed for a post-jatara cleanup, food and payments to the large number of volunteers, an official said, adding: “There will be a few tons of trash that will need to be picked up.”
This year there is an additional challenge of disposing tonsured hair, as many pilgrims are tonsuring their heads. When barbers were enquired about their plans to dispose of the waste, forest department staff were informed that the hair will be thrown in the surrounding forest or in the ‘gundam’, the pool of water formed by a waterfall near the temple. The barbers were then directed to carry sacks and to stuff the tonsured hair in it to be transported out of the tiger reserve for disposal.
 
Though entry into the forest area was originally planned to have been stopped at 6 p.m., this turned out to be impossible to implement as hundreds of vehicles began piling up near the entry point at Farhabad. The entire area, including the parking lots, the way to the temple and the location where shops and ‘anna dana satrams’ came up, was lit up with generators brought to the area.
A senior forest department official in Hyderabad said that a thorough review would be held sometime later this month to evaluate how to regulate the number of people entering forests for such events, and security measures inside Telangana’s wildlife sanctuaries and tiger reserves.
 
","REAL","negative"
"What do we know about “stealth omicron” so far?
It’s an extra-contagious version of the omicron variant, but it doesn’t seem to cause more severe disease.
 
Since it was first identified in November, BA.2 has been spreading around the globe, driving new surges in parts of Asia and Europe. It’s now the dominant coronavirus version in the U.S. and more than five dozen other countries.
It was given the “stealth” nickname because it looks like the earlier delta variant on certain PCR tests, says Kristen Coleman at the University of Maryland School of Public Health. The original omicron, by contrast, is easy to differentiate from delta because of a genetic quirk.
In rare cases, early research indicates BA.2 can infect people even if they’ve already had an omicron infection. COVID-19 vaccines appear just as effective against both kinds of omicron, offering strong protection against severe illness and death.
 
Health officials also are tracking other variants including XE — a combination of BA.2 and BA.1, the original omicron — that was first identified in January in the United Kingdom. The World Health Organization is keeping tabs on XE but has not yet deemed it a variant of concern or interest.
","REAL","positive"
